S/N,Provincial Director Area,Road No.,Road Name,From (km),To (km),Reason,Updated as of 11am 1 Dec 2025
1,Eastern (08),A-015,Batticaloa - Thirukkondiyadimadu - Trincomalee Road,20+700,21+300,Submerged by water,
2,,A-015,Batticaloa - Thirukkondiyadimadu - Trincomalee Road,82+000,85+000,Same (Submerged),
3,,A-015,Batticaloa - Thirukkondiyadimadu - Trincomalee Road,109+000,110+000,Same,
4,,B-424,Trincomalee - Pulmoddai Road,46+000,49+000,Same,
5,,B-010,Allai - Kantale Road,28+000,30+000,Same,
6,,B-618,Mullipotana - Surangal Road,3+000,7+000,Same,
7,,B-541,Thambalagamuwa - Kinniya Road,12+000,13+000,Same (Due to Mahaweli River),
8,,B-347,Pahala Thoppur - Seruwila Road,0+600,1+300,Submerged by water,
9,Central (15),A-005,Peradeniya - Badulla - Chenkaladi Road,14+000,76+000,Same,
10,,B-413,Tennekumbura - Rikillagaskada - Ragala Road,35+000,59+000,Same,
11,,B-621,Atabage - Dunukedella Road,4+000,8+000,Same,
12,,B-364,Peradeniya - Deltota - Rikillagaskada Road,15+000,35+000,Same,
13,,B-332,Nuwara Eliya - Ragala - Udapussallawa Road,6+000,13+000,Same,
14,,B-274,Matale - Illukkumbura - Pallegama Road,12+000,42+000,Same,
15,,B-205,Kadugannawa - Madawala - Bambarabedda Road,18+000,33+000,Same,
16,,B-492,Kandehandiya - Ambakaragama - Randenigala - Loggal Oya Road,0+000,22+000,Same,
17,,B-461,Wattegama - Kandenuwara - Wariyapola Road,5+000,10+000,Landslide,
18,,AB-013,Gampola - Nawalapitiya Road,10+000,-,Same (Landslide),
19,,B-392,Rattota - Gammaduwa Road,10+000,12+000,Landslide,
20,,B-279,Mawanella - Hemmathagama Road,21+000,-,Landslide,
21,,B-648,Moragahakanda - Wellewela Road,11/1 Bridge,-,Bridge washed away,
22,,B-148,Harangala - Kalapitiya - Kubaloluwa Road,4+000,8+000,Same,
23,Uva (11),B-507,Gonedapola - Ambewela Road,1+000,6+000,Landslide,
24,,AA-005,Peradeniya - Badulla - Chenkaladi Road,1+000,6+000,Same,
25,,,(AA-005 continued),77+000,78+000,Same,
26,,,(AA-005 continued),93+000,110+000,Same,
27,,,(AA-005 continued),132+000,160+000,Same,
28,,B-043,Bandarawela - Uva Highlands - Etampitiya Road,1+000,2+000,Same,
29,,,(B-043 continued),14+000,16+500,Same,
30,,B-332,Nuwara Eliya - Udapussallawa Road,44+000,45+000,Same,
31,,B-099,Demodara - Spring Valley - Badulla Road,8+000,22+000,Same,
32,,B-360,Passara - Madolsima - Metigahatenna Road,0+000,30+000,Same,
33,,B-113,Ella - Passara Road,20+000,26+000,Same,
34,North Central (05),A-11,Maradankadawala - Habarana - Thirukkondiyadimadu Road,74+000,82+000,Submerged by water,
35,,B-488,Polonnaruwa - Thambala - Sungavila - Somawathi Road,14+000,37+700,Same,
36,,B-615,Dambulla - Bakamuna - Kalagahawela Road,29+000,30+000,Bridge approach washed away,
37,,B 501,Anderawewa - Balaluwewa Road,Near 15/1 Bridge,-,Submerged by water,
38,,B 556,Madatugama - Pubbogama - Andiyagala Road,"Near 13/1, 13/2 Bridges",-,Same,
39,Sabaragamuwa (10),A-001,Colombo - Kandy Road,95+000,101+000,Landslide,
40,,B-279,Mawanella - Hemmathagama - Gampola Road,17+000,21+000,Landslide,
41,,B-603,Magmmana - Kurupettha - Daigala - Gurugalla Road,5+850,5+870,Submerged by water,
42,,,(B-603 continued),7+400,7+800,Same,
43,,,(B-603 continued),10+250,10+400,Same,
44,,,(B-603 continued),11+075,11+100,Same,
45,,B-136,Gevilipitiya - Hettimulla Road,5+000,-,Landslide (One side open),
46,,A-019,Polgahawela - Kegalle Road,9+000,-,Landslide,
47,,B-600,Meepitiya - Ingiriyawala - Paragammana Road,3+000,-,Landslide,
48,,B-160,Idangoda - Ayagama Road,2+000,3+000,Submerged by water,
49,Wayamba (10) (North Western),B-264,Mallawapitiya - Rambodagalla - Keppetigala Road,34+000,-,Landslide,
50,,AA-003,Peliyagoda - Puttalam Road,60+000,-,Same (Landslide),
51,,,(AA-003 continued),122+000,-,Same,
52,,AA-012,Puttalam - Trincomalee Road,36+000,-,Submerged by water,
53,,,(AA-012 continued),17/1 Bridge,-,Bridge sinking,
54,,B 126,Galgamuwa - Nikaweratiya Road,0+600,-,Same,
55,,,(B 126 continued),13+300,14+000,Same,
56,,B-540,Nainamadama - Iranawila Road,23/1 Bridge,-,Damage to bridge,
57,,B 478,Wilakadupotha - Ganewatta - Kumbukgate Road,18+000,-,Submerged by water,
58,,B 045,Bangadeniya - Andigama - Anamaduwa Road,18+000,-,Same,
59,Northern (12),A-014,Medawachchiya - Mannar - Talaimannar Road,24+000,26+000,Submerged by water,
60,,,(A-014 continued),43+200,44+000,Same,
61,,,(A-014 continued),47+000,51+000,Same,
62,,,(A-014 continued),60+000,62+000,Same,
63,,B-325,Nelukkulam - Neriyakulam Road,11+000,11+150,Same,
64,,B-378,Pulliyadiirakkam - Madu Road,6+000,8+100,Same,
65,,A-032,Navatkuli - Kerativu - Mannar Road,80+000,88+000,Same,
66,,B-403,South Eastern Cross Road,16+000,19+000,Same,
67,,B-299,Murunkan - Silavatturai Road,0+100,7+000,Same,
68,,B-297,Mullaitivu - Kokkilai Road,16+000,20+000,Same,
69,,A-035,Paranthan - Karachchi - Mullaitivu Road,9+000,12+200,Same,
70,,,(A-035 continued),40+500,49+500,Same,
71,Western (38),B-382,Ragama - Kandana Road (Railway Station),1+000,3+500,Submerged by water,
72,,B-400,Seeduwa - Udugampola Road (Kotugoda),4+000,5+000,Same,
73,,B-408,Talduwa - Meewitigammana Road,14+000,14+100,Landslide,
74,,,(B-408 continued),15+000,15+100,Same,
75,,B-152,Mattakkuliya - Uswetakeiyawa - Pinwatta Road,3+500,4+000,Submerged by water,
76,,AB 010,Colombo - Hanwella Road,0+250,0+900,Same,
77,,,(AB 010 continued),2+300,2+400,Same,
78,,,(AB 010 continued),5+300,5+400,Same,
79,,,(AB 010 continued),8+550,8+650,Same,
80,,,(AB 010 continued),11+300,11+550,Same,
81,,,(AB 010 continued),13+000,13+550,Same,
82,,,(AB 010 continued),19+000,19+100,Same,
83,,,(AB 010 continued),22+500,26+700,Same,
84,,B 214,Kelaniya - Mudungoda Road,4+000,29+000,Same,
85,,B 254,Mabima - Sapugaskanda Road,0+000,1+000,Same,
86,,B 111,Ekala - Kotadeniyawa Road (Kotugoda),0+00,4+500,Same,
87,,B 632,Sapugaskanda Oil Refinery Junction - Biyagama Free Trade Zone,5+800,6+200,Same,
88,,B 215,Kelaniya - Waragoda Road,0+300,0+600,Same,
89,,,(B 215 continued),2+800,2+900,Same,
90,,B 322,Negombo - Giriulla Road,2+800,5+000,Submerged by water,
91,,,(B 322 continued),29+000,34+000,Same,
92,,,(B 322 continued),37+000,37+100,Same,
93,,,(B 322 continued),24+900,25+000,Diversion road for the 25/1 bridge construction project washed away due to heavy rain,
94,,B 445,Veyangoda - Ruwanwella Road,14+000,14+100,Risk of Landslide,
95,,B-289,Minuwangoda - Miriswatta - Katana Road,6+000,9+000,Submerged by water,
96,,B 644,Kelanimulla - Angoda - Koswatta Road,0+000,0+800,Same,
97,,B 469,Welikada - Kohilawatta Road,3+600,6+000,Same,
98,,B 174,Kaduwela - Athurugiriya Road,0+000,0+500,Same,
99,,,(B 174 continued),5+500,5+800,Same,
100,,B 145,Hanwella Cross Road,25+000,26+200,Same,
101,,B-633,Ja-Ela Highway Access Road,0+000,0+300,Same,
102,,B-095,Delgoda - Dompe - Giridara Road,4+400,4+500,Same,
103,,B-146,Hanwella - Urapola Road,10+000,10+500,Same,
104,,,(B-146 continued),8+100,8+300,Same ,
105,,B-228,Kochchikade - Halpe Road,6+000,7+000,Same,
106,,B-240,Kottawa - Bope Road,22+800,22+900,Same,
107,,B-435,Orugodawatta - Ambatale Road,1+000,7+500,Same,
108,,B-207,Katukurunda - Nagoda Road,11+150,11+200,Same,
